arxiv_id,title,summary,published_date,category,authors
2005.14165,Language Models are Few-Shot Learners,"We demonstrate that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art fine-tuning approaches. Specifically, we train GPT-3, an autoregressive language model with 175 billion parameters, and test its performance in the few-shot setting.",2020-05-28,cs.CL,Tom B. Brown | Benjamin Mann | Nick Ryder
2106.09685,LoRA: Low-Rank Adaptation of Large Language Models,"An important paradigm of natural language processing consists of large-scale pre-training on general domain data and adaptation to particular tasks or domains. We propose Low-Rank Adaptation, or LoRA, which freezes the pre-trained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture.",2021-06-17,cs.CL,Edward J. Hu | Yelong Shen | Phillip Wallis
2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"We explore how generating a chain of thought -- a series of intermediate reasoning steps -- significantly improves the ability of large language models to perform complex reasoning. We show that chain-of-thought prompting yields large improvements on a wide range of arithmetic, commonsense, and symbolic reasoning tasks.",2022-01-28,cs.CL,Jason Wei | Xuezhi Wang | Dale Schuurmans
2203.02155,Training language models to follow instructions with human feedback,"Making language models bigger does not inherently make them better at following a user's intent. We show an avenue for aligning language models with user intent on a wide range of tasks by fine-tuning with human feedback. We collect a dataset of labeler demonstrations and train a model called InstructGPT.",2022-03-04,cs.CL,Long Ouyang | Jeff Wu | Xu Jiang
2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,"Large language models have demonstrated impressive capabilities across tasks in language understanding and interactive decision making, but their abilities for reasoning and acting have primarily been studied as separate topics. We explore the use of LLMs to generate both reasoning traces and task-specific actions in an interleaved manner.",2022-10-06,cs.CL,Shunyu Yao | Jeffrey Zhao | Dian Yu
2302.13971,LLaMA: Open and Efficient Foundation Language Models,"We introduce LLaMA, a collection of foundation language models ranging from 7B to 65B parameters. We train our models on trillions of tokens and show that it is possible to train state-of-the-art models using publicly available datasets exclusively, without resorting to proprietary and inaccessible datasets.",2023-02-27,cs.CL,Hugo Touvron | Thibaut Lavril | Gautier Izacard
2303.08774,GPT-4 Technical Report,"We report the development of GPT-4, a large-scale multimodal model which can accept image and text inputs and produce text outputs. While less capable than humans in many real-world scenarios, GPT-4 exhibits human-level performance on various professional and academic benchmarks.",2023-03-15,cs.CL,OpenAI | Josh Achiam | Steven Adler
2305.10601,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"Language models are increasingly being deployed for general problem solving across a wide range of tasks, but are still confined to token-level, left-to-right decision-making processes during inference. We introduce Tree of Thoughts, a framework that generalizes over Chain of Thought to enable exploration over coherent units of thought.",2023-05-17,cs.CL,Shunyu Yao | Dian Yu | Jeffrey Zhao
2401.04088,Mixtral of Experts,"We introduce Mixtral 8x7B, a Sparse Mixture of Experts language model. Mixtral has the same architecture as Mistral 7B, with the difference that each layer is composed of 8 feedforward blocks (i.e. experts). For every token, at each layer, a router network selects two experts to process the current state and combine their outputs.",2024-01-08,cs.CL,Albert Q. Jiang | Alexandre Sablayrolles | Antoine Roux
2412.19437,DeepSeek-V3 Technical Report,"We present DeepSeek-V3, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token. To achieve efficient inference and cost-effective training, DeepSeek-V3 adopts Multi-head Latent Attention (MLA) and DeepSeekMoE architectures, which were thoroughly validated in DeepSeek-V2.",2024-12-26,cs.CL,DeepSeek-AI | Aixin Liu | Bei Feng
